question_file_order,field_name,question_text,question_no,section_no,section
181,AGE,Age,35,12,Personal Demographics
182,RESIDENCE,Which of the following housing situations best describes your CURRENT residence?,36,12,Personal Demographics
183,MARITAL,What is your marital status?,37,12,Personal Demographics
184,CHILDREN,"How many, if any, children do you have?",38,12,Personal Demographics
185,CITIZEN,What is your present citizenship status?,39,12,Personal Demographics
186,CITIZENOther_Specified,Citizen of another country with a student visa or other non-immigrant visa - Please specify country: Specify [Question: What is your present citizenship status? ],40,12,Personal Demographics
187,gBlack,"Black (e.g. African, African American, African Canadian, Caribbean) [Question: Please indicate whether you consider yourself to be a member of one or more of the following visible minority groups: (Choose all that apply)]",40,12,Personal Demographics
188,gEastAsia,"East Asian (e.g. Chinese, Japanese, Korean, Polynesian) [Question: Please indicate whether you consider yourself to be a member of one or more of the following visible minority groups: (Choose all that apply)]",40,12,Personal Demographics
189,gSouthAsia,"South Asian (e.g. Indian, Pakistani, Sri Lankan, Bangladeshi) [Question: Please indicate whether you consider yourself to be a member of one or more of the following visible minority groups: (Choose all that apply)]",40,12,Personal Demographics
190,gSouthEastAsia,"Southeast Asian (e.g. Burmese, Cambodian, Filipino, Laotian, Malaysian, Thai, Vietnamese) [Question: Please indicate whether you consider yourself to be a member of one or more of the following visible minority groups: (Choose all that apply)]",40,12,Personal Demographics
191,gWestAsia,"West Asian (e.g. Arabian, Armenian, Iranian, Israeli, Lebanese, Palestinian, Syrian, Turkish) [Question: Please indicate whether you consider yourself to be a member of one or more of the following visible minority groups: (Choose all that apply)]",40,12,Personal Demographics
192,gLatinAm,"Latin American (e.g. Mexican, indigenous Central and South American) [Question: Please indicate whether you consider yourself to be a member of one or more of the following visible minority groups: (Choose all that apply)]",40,12,Personal Demographics
193,gMixed,Mixed origin (please specify): [Question: Please indicate whether you consider yourself to be a member of one or more of the following visible minority groups: (Choose all that apply)],40,12,Personal Demographics
194,None,Mixed origin (please specify): Specify [Question: Please indicate whether you consider yourself to be a member of one or more of the following visible minority groups: (Choose all that apply)],40,12,Personal Demographics
195,gMixedOther,None [Question: Please indicate whether you consider yourself to be a member of one or more of the following visible minority groups: (Choose all that apply)],40,12,Personal Demographics
196,ABORIGINAL,"Do you self-identify with, or have ancestry as an Aboriginal person (status or non-status Indian, Métis or Inuit)?",41,12,Personal Demographics
197,DisablSelfID,Do you self-identify with any disability or impairment?,42,12,Personal Demographics
198,Disabl_Sense,Sensory (vision or hearing) [Question: Please specify which one(s) (select all that apply)],43,12,Personal Demographics
199,Disabl_Mobil,Mobility [Question: Please specify which one(s) (select all that apply)],43,12,Personal Demographics
200,Disabl_Learn,"Learning (e.g. ADHD, Dyslexia) [Question: Please specify which one(s) (select all that apply)]",43,12,Personal Demographics
201,Disabl_Mental,"Mental health (e.g. Depression, Bipolar) [Question: Please specify which one(s) (select all that apply)]",43,12,Personal Demographics
202,Disabl_Autism,"Autism spectrum (e.g. Autism, Asperger’s) [Question: Please specify which one(s) (select all that apply)]",43,12,Personal Demographics
203,Disabl_Chronic,"Chronic (e.g. Crohn’s, Colitis, MS) [Question: Please specify which one(s) (select all that apply)]",43,12,Personal Demographics
204,Disabl_Else,"A disability or impairment not listed above, please specify: [Question: Please specify which one(s) (select all that apply)]",43,12,Personal Demographics
205,Disabl_Else_Specified,"A disability or impairment not listed above, please specify: Specify [Question: Please specify which one(s) (select all that apply)]",43,12,Personal Demographics
206,Disabl_NotRespond,Prefer not to respond [Question: Please specify which one(s) (select all that apply)],43,12,Personal Demographics
207,Disabl_Rate,How would you rate your institution’s efforts to accommodate your disability or impairment in your graduate program?,44,12,Personal Demographics
208,COMMENTS,Are there any additional comments you would like to add about your graduate student experience at this university?,45,12,Personal Demographics
